transaction_id,amount,location,device_new,hour,velocity,account_age_days,is_fraud
TXN0001,509,Chennai,0,14,2,385,False
TXN0002,14717,Chennai,0,20,1,161,False
TXN0003,8379,Salem,0,13,4,551,False
TXN0004,13361,Madurai,0,12,4,796,False
TXN0005,130072,Hyderabad,1,2,6,16,True
TXN0006,141082,Delhi,1,2,14,38,True
TXN0007,8885,Madurai,0,19,1,1230,False
TXN0008,10233,Coimbatore,0,13,1,193,False
TXN0009,1407,Salem,0,10,4,669,False
TXN0010,6077,Madurai,0,18,3,529,False
TXN0011,11299,Salem,0,12,2,434,False
TXN0012,10585,Chennai,0,17,1,569,False
TXN0013,6672,Madurai,0,9,2,1970,False
TXN0014,8279,Coimbatore,1,21,2,642,False
TXN0015,9297,Coimbatore,0,20,4,841,False
TXN0016,2366,Chennai,1,9,1,1863,False
TXN0017,50969,Hyderabad,1,3,14,13,True
TXN0018,7768,Madurai,0,7,1,1496,False
TXN0019,5673,Salem,0,16,4,423,False
TXN0020,124646,Delhi,1,2,13,27,True
TXN0021,4989,Coimbatore,0,11,3,1661,False
TXN0022,12857,Chennai,0,17,4,139,False
TXN0023,14496,Chennai,0,14,1,593,False
TXN0024,93699,Mumbai,1,0,13,21,True
TXN0025,9107,Coimbatore,0,15,4,533,False
TXN0026,6637,Coimbatore,0,21,4,347,False
TXN0027,5639,Chennai,0,14,2,114,False
TXN0028,1064,Madurai,0,9,1,1860,False
TXN0029,61195,Mumbai,1,2,15,67,True
TXN0030,11951,Salem,1,14,4,1753,False
TXN0031,42704,Hyderabad,1,3,10,59,True
TXN0032,12045,Madurai,0,10,1,924,False
TXN0033,1890,Salem,0,13,2,1198,False
TXN0034,54050,Delhi,1,2,12,36,True
TXN0035,14212,Coimbatore,0,8,1,291,False
TXN0036,93653,Delhi,1,3,8,56,True
TXN0037,30282,Bangalore,1,3,9,63,True
TXN0038,12068,Coimbatore,1,11,2,707,False
TXN0039,9589,Salem,0,17,1,202,False
TXN0040,14070,Coimbatore,0,8,1,1843,False
TXN0041,38907,Mumbai,1,1,11,20,True
TXN0042,751,Coimbatore,0,20,3,634,False
TXN0043,5247,Madurai,0,15,4,368,False
TXN0044,12418,Chennai,0,7,4,1372,False
TXN0045,57938,Bangalore,1,4,9,21,True
TXN0046,14505,Salem,0,18,3,423,False
TXN0047,11626,Chennai,0,7,3,1458,False
TXN0048,2300,Coimbatore,0,10,1,1620,False
TXN0049,10009,Madurai,0,17,2,1507,False
TXN0050,4214,Madurai,0,9,4,1798,False
TXN0051,73719,Mumbai,1,1,15,38,True
TXN0052,9138,Coimbatore,1,7,1,254,False
TXN0053,13774,Chennai,0,11,4,361,False
TXN0054,14828,Coimbatore,0,18,2,1496,False
TXN0055,5894,Coimbatore,1,11,2,1870,False
TXN0056,13383,Madurai,0,20,1,467,False
TXN0057,6845,Chennai,0,15,2,1712,False
TXN0058,734,Salem,1,14,2,1772,False
TXN0059,13543,Coimbatore,0,14,1,1451,False
TXN0060,4664,Salem,0,15,3,1413,False
TXN0061,13922,Madurai,0,7,1,1896,False
TXN0062,64795,Hyderabad,1,0,6,81,True
TXN0063,12984,Coimbatore,0,20,1,888,False
TXN0064,11712,Salem,1,7,2,845,False
TXN0065,117062,Delhi,1,2,14,45,True
TXN0066,5020,Madurai,0,20,3,924,False
TXN0067,3243,Madurai,1,19,2,1360,False
TXN0068,13759,Salem,0,16,3,530,False
TXN0069,10039,Coimbatore,0,21,4,1005,False
TXN0070,13104,Madurai,0,9,3,1155,False
TXN0071,128453,Mumbai,1,1,15,44,True
TXN0072,2514,Chennai,0,8,2,1073,False
TXN0073,14618,Coimbatore,0,19,4,918,False
TXN0074,120128,Mumbai,1,0,6,59,True
TXN0075,121214,Mumbai,1,4,12,11,True
TXN0076,2088,Madurai,1,11,4,1467,False
TXN0077,14705,Coimbatore,1,20,4,1937,False
TXN0078,7877,Madurai,1,15,2,1820,False
TXN0079,8640,Chennai,1,14,3,1000,False
TXN0080,3941,Chennai,0,17,3,1928,False
TXN0081,60311,Mumbai,1,3,7,95,True
TXN0082,83424,Hyderabad,1,2,13,64,True
TXN0083,139168,Delhi,1,3,11,79,True
TXN0084,12643,Madurai,1,22,1,820,False
TXN0085,14082,Madurai,1,14,4,549,False
TXN0086,575,Coimbatore,1,17,4,1583,False
TXN0087,2191,Salem,0,19,1,271,False
TXN0088,90515,Hyderabad,1,1,5,38,True
TXN0089,7549,Salem,0,17,4,669,False
TXN0090,1441,Coimbatore,1,7,1,816,False
TXN0091,12899,Chennai,0,7,2,508,False
TXN0092,4008,Coimbatore,0,22,1,1255,False
TXN0093,4298,Coimbatore,0,12,1,1692,False
TXN0094,1871,Coimbatore,0,16,4,912,False
TXN0095,120520,Bangalore,1,1,6,94,True
TXN0096,9937,Salem,0,8,3,1191,False
TXN0097,1229,Salem,0,7,4,1784,False
TXN0098,77472,Mumbai,1,3,7,60,True
TXN0099,10757,Madurai,0,22,4,992,False
TXN0100,4122,Salem,0,15,4,599,False
TXN0101,11047,Madurai,1,17,1,1112,False
TXN0102,57802,Bangalore,1,2,9,48,True
TXN0103,11588,Coimbatore,0,7,2,275,False
TXN0104,8104,Chennai,0,22,4,1017,False
TXN0105,59045,Bangalore,1,3,8,44,True
TXN0106,8798,Salem,0,20,3,820,False
TXN0107,4218,Chennai,0,10,2,746,False
TXN0108,12587,Salem,0,13,2,1612,False
TXN0109,9759,Coimbatore,0,10,2,706,False
TXN0110,5052,Chennai,0,11,3,193,False
TXN0111,11526,Chennai,0,22,1,1887,False
TXN0112,7790,Chennai,1,21,3,477,False
TXN0113,14218,Salem,1,10,1,920,False
